pattern,purchase_behaviour,multiple_year_purchase
111111111,Year-round Purchase,TRUE
011111111,Year-round Purchase,TRUE
000000011,H2 Purchase,FALSE
000000111,Year-round Purchase,FALSE
000001111,Year-round Purchase,FALSE
000111111,Year-round Purchase,TRUE
001111111,Year-round Purchase,TRUE
000011111,Year-round Purchase,TRUE
000010111,Year-round Purchase,FALSE
000000001,Winter-Peak Purchase,FALSE
011110111,Year-round Purchase,TRUE
011110000,Year-round Purchase,FALSE
111110111,Year-round Purchase,TRUE
011111110,Year-round Purchase,TRUE
001110000,Year-round Purchase,FALSE
000010001,Winter-Peak Purchase,TRUE
001110111,Year-round Purchase,TRUE
111110000,Year-round Purchase,TRUE
111111110,Year-round Purchase,TRUE
000001101,Year-round Purchase,FALSE
000010011,H2 Purchase,TRUE
111111101,Year-round Purchase,TRUE
000010101,Spring-Winter Purchase,TRUE
011111101,Year-round Purchase,TRUE
001010101,Spring-Winter Purchase,TRUE
000110011,H2 Purchase,TRUE
011111010,Year-round Purchase,TRUE
011010000,Year-round Purchase,FALSE
011100000,Year-round Purchase,FALSE
110111111,Year-round Purchase,TRUE
011101111,Year-round Purchase,TRUE
001010001,Spring-Winter Purchase,TRUE
000111011,Year-round Purchase,TRUE
000110000,H2 Purchase,FALSE
101111111,Year-round Purchase,TRUE
000011101,Year-round Purchase,TRUE
000011100,Year-round Purchase,FALSE
000111101,Year-round Purchase,TRUE
011000000,H1 Purchase,FALSE
000001110,Year-round Purchase,FALSE
000000110,Spring-Summer Purchase,FALSE
001010000,Spring-Winter Purchase,TRUE
001100000,Spring-Summer Purchase,FALSE
011100001,Year-round Purchase,TRUE
000110111,Year-round Purchase,TRUE
000110101,Year-round Purchase,TRUE
011101110,Year-round Purchase,TRUE
011111100,Year-round Purchase,TRUE
010110000,Year-round Purchase,FALSE
011110010,Year-round Purchase,TRUE
001111110,Year-round Purchase,TRUE
011011111,Year-round Purchase,TRUE
000111000,Year-round Purchase,FALSE
001010100,Spring-Winter Purchase,TRUE
111111011,Year-round Purchase,TRUE
001110010,Year-round Purchase,TRUE
001110110,Year-round Purchase,TRUE
000000101,Spring-Winter Purchase,FALSE
011010101,Year-round Purchase,TRUE
011010100,Year-round Purchase,TRUE
000111010,Year-round Purchase,FALSE
011111011,Year-round Purchase,TRUE
000011011,Year-round Purchase,TRUE
000011110,Year-round Purchase,TRUE
001011001,Year-round Purchase,TRUE
010111111,Year-round Purchase,TRUE
001100100,Spring-Summer Purchase,TRUE
111100000,Year-round Purchase,TRUE
000001011,Year-round Purchase,FALSE
000010110,Year-round Purchase,TRUE
011110011,Year-round Purchase,TRUE
010111000,Year-round Purchase,TRUE
001011100,Year-round Purchase,TRUE
001110001,Year-round Purchase,TRUE
111000000,Year-round Purchase,FALSE
001110101,Year-round Purchase,TRUE
111010000,Year-round Purchase,TRUE
011010010,Year-round Purchase,TRUE
111111001,Year-round Purchase,TRUE
001100110,Spring-Summer Purchase,TRUE
000110110,Year-round Purchase,TRUE
011011010,Year-round Purchase,TRUE
101110100,Year-round Purchase,TRUE
111111000,Year-round Purchase,TRUE
001010011,Year-round Purchase,TRUE
000111001,Year-round Purchase,TRUE
100010001,Winter-Peak Purchase,TRUE
011011000,Year-round Purchase,TRUE
000110010,H2 Purchase,TRUE
001110011,Year-round Purchase,TRUE
000100111,Year-round Purchase,TRUE
000011010,Year-round Purchase,TRUE
001110100,Year-round Purchase,TRUE
011010111,Year-round Purchase,TRUE
000100110,Spring-Summer Purchase,TRUE
000011001,Winter Season Purchase,TRUE
010100000,New-Year Summer Purchase,FALSE
011101011,Year-round Purchase,TRUE
111110001,Year-round Purchase,TRUE
011110100,Year-round Purchase,TRUE
110000000,Winter Season Purchase,FALSE
010111011,Year-round Purchase,TRUE
000111110,Year-round Purchase,TRUE
001111000,Year-round Purchase,TRUE
010111001,Year-round Purchase,TRUE
101110001,Year-round Purchase,TRUE
011100100,Year-round Purchase,TRUE
000110001,H2 Purchase,TRUE
111101111,Year-round Purchase,TRUE
001101010,Year-round Purchase,TRUE
010010000,Winter Season Purchase,TRUE
110110000,Year-round Purchase,TRUE
010111110,Year-round Purchase,TRUE
001011000,Year-round Purchase,TRUE
010011111,Year-round Purchase,TRUE
001010110,Year-round Purchase,TRUE
101010101,Spring-Winter Purchase,TRUE
010101111,Year-round Purchase,TRUE
011100110,Year-round Purchase,TRUE
001100001,Year-round Purchase,TRUE
101010001,Spring-Winter Purchase,TRUE
001111011,Year-round Purchase,TRUE
111011111,Year-round Purchase,TRUE
011010001,Year-round Purchase,TRUE
010110100,Year-round Purchase,TRUE
001100010,Spring-Summer Purchase,TRUE
010011010,Year-round Purchase,TRUE
001011111,Year-round Purchase,TRUE
101110000,Year-round Purchase,TRUE
000010100,Spring-Winter Purchase,FALSE
010010111,Year-round Purchase,TRUE
001100111,Year-round Purchase,TRUE
111111010,Year-round Purchase,TRUE
010010011,Year-round Purchase,TRUE
011111000,Year-round Purchase,TRUE
000010000,Winter-Peak Purchase,FALSE
111011001,Year-round Purchase,TRUE
001011010,Year-round Purchase,TRUE
010110011,Year-round Purchase,TRUE
001101110,Year-round Purchase,TRUE
011100010,Year-round Purchase,TRUE
111111100,Year-round Purchase,TRUE
011101100,Year-round Purchase,TRUE
011001000,H1 Purchase,TRUE
011110001,Year-round Purchase,TRUE
010110111,Year-round Purchase,TRUE
011110101,Year-round Purchase,TRUE
111110110,Year-round Purchase,TRUE
000001100,H1 Purchase,FALSE
110010001,Winter Season Purchase,TRUE
000011000,Winter Season Purchase,FALSE
010110001,Year-round Purchase,TRUE
010011001,Winter Season Purchase,TRUE
011101000,Year-round Purchase,TRUE
011011011,Year-round Purchase,TRUE
001100011,Year-round Purchase,TRUE
011010110,Year-round Purchase,TRUE
101010010,Year-round Purchase,TRUE
101010111,Year-round Purchase,TRUE
011000101,Year-round Purchase,TRUE
111000101,Year-round Purchase,TRUE
011011100,Year-round Purchase,TRUE
101010100,Spring-Winter Purchase,TRUE
001100101,Year-round Purchase,TRUE
101111101,Year-round Purchase,TRUE
010100111,Year-round Purchase,TRUE
110010000,Winter Season Purchase,TRUE
011101010,Year-round Purchase,TRUE
011000111,Year-round Purchase,TRUE
000101110,Year-round Purchase,TRUE
000101111,Year-round Purchase,TRUE
011001110,Year-round Purchase,TRUE
011001111,Year-round Purchase,TRUE
011100011,Year-round Purchase,TRUE
100111111,Year-round Purchase,TRUE
010011000,Winter Season Purchase,TRUE
011000010,Year-round Purchase,TRUE
001010111,Year-round Purchase,TRUE
110010101,Year-round Purchase,TRUE
001101111,Year-round Purchase,TRUE
010010001,Winter Season Purchase,TRUE
110011001,Winter Season Purchase,TRUE
011110110,Year-round Purchase,TRUE
001111001,Year-round Purchase,TRUE
010110110,Year-round Purchase,TRUE
001111101,Year-round Purchase,TRUE
010100010,New-Year Summer Purchase,TRUE
001000110,Spring-Summer Purchase,TRUE
000110100,Year-round Purchase,TRUE
010111010,Year-round Purchase,TRUE
111010111,Year-round Purchase,TRUE
010111100,Year-round Purchase,TRUE
111010100,Year-round Purchase,TRUE
111110011,Year-round Purchase,TRUE
010110010,Year-round Purchase,TRUE
001000000,Spring-Season Purchase,FALSE
010010100,Year-round Purchase,TRUE
011111001,Year-round Purchase,TRUE
111010101,Year-round Purchase,TRUE
011100111,Year-round Purchase,TRUE
111010001,Year-round Purchase,TRUE
101110111,Year-round Purchase,TRUE
110111011,Year-round Purchase,TRUE
000010010,H2 Purchase,TRUE
011100101,Year-round Purchase,TRUE
110110100,Year-round Purchase,TRUE
111110101,Year-round Purchase,TRUE
101011111,Year-round Purchase,TRUE
110111001,Year-round Purchase,TRUE
110011011,Year-round Purchase,TRUE
111010011,Year-round Purchase,TRUE
011101101,Year-round Purchase,TRUE
110110001,Year-round Purchase,TRUE
010100110,Year-round Purchase,TRUE
001000001,Spring-Winter Purchase,FALSE
000100000,Summer-Season Purchase,FALSE
111101110,Year-round Purchase,TRUE
001111100,Year-round Purchase,TRUE
111011101,Year-round Purchase,TRUE
001001011,Year-round Purchase,TRUE
000000010,Summer-Season Purchase,FALSE
111110100,Year-round Purchase,TRUE
111011110,Year-round Purchase,TRUE
010100001,Year-round Purchase,TRUE
011011001,Year-round Purchase,TRUE
111010010,Year-round Purchase,TRUE
011000110,Year-round Purchase,TRUE
011001100,H1 Purchase,TRUE
111101011,Year-round Purchase,TRUE
101010000,Spring-Winter Purchase,TRUE
111011000,Year-round Purchase,TRUE
010111101,Year-round Purchase,TRUE
100111000,Year-round Purchase,TRUE
111110010,Year-round Purchase,TRUE
001001010,Year-round Purchase,TRUE
001000101,Spring-Winter Purchase,TRUE
001001111,Year-round Purchase,TRUE
111001000,Year-round Purchase,TRUE
101011001,Year-round Purchase,TRUE
101000000,Spring-Winter Purchase,FALSE
101100000,Year-round Purchase,TRUE
010000111,Year-round Purchase,TRUE
001011110,Year-round Purchase,TRUE
111000001,Year-round Purchase,TRUE
110100000,Year-round Purchase,TRUE
101010011,Year-round Purchase,TRUE
110100001,Year-round Purchase,TRUE
100111101,Year-round Purchase,TRUE
000101100,Year-round Purchase,TRUE
001101101,Year-round Purchase,TRUE
100011001,Winter Season Purchase,TRUE
100110001,H2 Purchase,TRUE
101011011,Year-round Purchase,TRUE
110111010,Year-round Purchase,TRUE
101101111,Year-round Purchase,TRUE
010011100,Year-round Purchase,TRUE
010010110,Year-round Purchase,TRUE
000100001,H2 Purchase,TRUE
000101011,Year-round Purchase,TRUE
111001111,Year-round Purchase,TRUE
010100011,Year-round Purchase,TRUE
010000010,New-Year Summer Purchase,TRUE
001011011,Year-round Purchase,TRUE
010100101,Year-round Purchase,TRUE
001001110,Year-round Purchase,TRUE
010100100,Year-round Purchase,TRUE
100110101,Year-round Purchase,TRUE
111101101,Year-round Purchase,TRUE
010001000,New-Year Purchase,TRUE
000111100,Year-round Purchase,TRUE
101111100,Year-round Purchase,TRUE
100000011,H2 Purchase,TRUE
111011011,Year-round Purchase,TRUE
101110011,Year-round Purchase,TRUE
001010010,Year-round Purchase,TRUE
110011101,Year-round Purchase,TRUE
110110011,Year-round Purchase,TRUE
101111000,Year-round Purchase,TRUE
111001001,Year-round Purchase,TRUE
111100110,Year-round Purchase,TRUE
110010111,Year-round Purchase,TRUE
001000111,Year-round Purchase,TRUE
100100010,H2 Purchase,TRUE
101111001,Year-round Purchase,TRUE
000100011,H2 Purchase,TRUE
000001001,Winter Season Purchase,TRUE
011011110,Year-round Purchase,TRUE
010010010,Year-round Purchase,TRUE
110010010,Year-round Purchase,TRUE
100001010,Year-round Purchase,TRUE
110010011,Year-round Purchase,TRUE
111101001,Year-round Purchase,TRUE
001101100,Year-round Purchase,TRUE
010011011,Year-round Purchase,TRUE
101011000,Year-round Purchase,TRUE
000001010,New-Year Summer Purchase,FALSE
110101000,Year-round Purchase,TRUE
000100100,Spring-Summer Purchase,TRUE
010101101,Year-round Purchase,TRUE
100010111,Year-round Purchase,TRUE
000101001,Year-round Purchase,TRUE
110001000,Winter Season Purchase,TRUE
011000001,Year-round Purchase,TRUE
000100010,Summer-Season Purchase,TRUE
100011000,Winter Season Purchase,TRUE
010110101,Year-round Purchase,TRUE
001101011,Year-round Purchase,TRUE
010101110,Year-round Purchase,TRUE
100010000,Winter-Peak Purchase,TRUE
100100101,Year-round Purchase,TRUE
010010101,Year-round Purchase,TRUE
100011010,Year-round Purchase,TRUE
101111110,Year-round Purchase,TRUE
101110110,Year-round Purchase,TRUE
011000100,H1 Purchase,TRUE
010000000,New-Year Purchase,FALSE
001001101,Year-round Purchase,TRUE
100010101,Spring-Winter Purchase,TRUE
010011110,Year-round Purchase,TRUE
100001001,Winter Season Purchase,TRUE
001101001,Year-round Purchase,TRUE
100100011,H2 Purchase,TRUE
101100101,Year-round Purchase,TRUE
010101100,Year-round Purchase,TRUE
010001001,Winter Season Purchase,TRUE
101011101,Year-round Purchase,TRUE
010001010,New-Year Summer Purchase,TRUE
001011101,Year-round Purchase,TRUE
100011101,Year-round Purchase,TRUE
101100111,Year-round Purchase,TRUE
111100010,Year-round Purchase,TRUE
011001001,Year-round Purchase,TRUE
100001111,Year-round Purchase,TRUE
111000011,Year-round Purchase,TRUE
010000110,Year-round Purchase,TRUE
101110101,Year-round Purchase,TRUE
110000001,Winter Season Purchase,TRUE
111001110,Year-round Purchase,TRUE
111101000,Year-round Purchase,TRUE
100110010,H2 Purchase,TRUE
101001100,Year-round Purchase,TRUE
000000100,Spring-Season Purchase,FALSE
010101011,Year-round Purchase,TRUE
101000011,Year-round Purchase,TRUE
100100100,Year-round Purchase,TRUE
011101001,Year-round Purchase,TRUE
101001111,Year-round Purchase,TRUE
110101010,Year-round Purchase,TRUE
100100111,Year-round Purchase,TRUE
010000100,H1 Purchase,TRUE
100101011,Year-round Purchase,TRUE
100111001,Year-round Purchase,TRUE
010101010,New-Year Summer Purchase,TRUE
111011100,Year-round Purchase,TRUE
100011011,Year-round Purchase,TRUE
100101111,Year-round Purchase,TRUE
110111110,Year-round Purchase,TRUE
011010011,Year-round Purchase,TRUE
110111100,Year-round Purchase,TRUE
101101101,Year-round Purchase,TRUE
101100001,Year-round Purchase,TRUE
100101000,Year-round Purchase,TRUE
101110010,Year-round Purchase,TRUE
010001110,Year-round Purchase,TRUE
110011000,Winter Season Purchase,TRUE
100110011,H2 Purchase,TRUE
111101010,Year-round Purchase,TRUE
110010100,Year-round Purchase,TRUE
110001100,Year-round Purchase,TRUE
111100111,Year-round Purchase,TRUE
111100100,Year-round Purchase,TRUE
100100000,H2 Purchase,TRUE
110000011,Year-round Purchase,TRUE
010101001,Year-round Purchase,TRUE
100100001,H2 Purchase,TRUE
111000100,Year-round Purchase,TRUE
000001000,New-Year Purchase,FALSE
111011010,Year-round Purchase,TRUE
001001000,H1 Purchase,TRUE
100010110,Year-round Purchase,TRUE
110011110,Year-round Purchase,TRUE
010101000,New-Year Summer Purchase,TRUE
100111011,Year-round Purchase,TRUE
010001101,Year-round Purchase,TRUE
111000110,Year-round Purchase,TRUE
110001010,Year-round Purchase,TRUE
100111100,Year-round Purchase,TRUE
010001011,Year-round Purchase,TRUE
001111010,Year-round Purchase,TRUE
111000010,Year-round Purchase,TRUE
110000101,Year-round Purchase,TRUE
011001010,Year-round Purchase,TRUE
111001100,Year-round Purchase,TRUE
111100101,Year-round Purchase,TRUE
110110101,Year-round Purchase,TRUE
110010110,Year-round Purchase,TRUE
100111110,Year-round Purchase,TRUE
100000111,Year-round Purchase,TRUE
101101010,Year-round Purchase,TRUE
110101001,Year-round Purchase,TRUE
101111011,Year-round Purchase,TRUE
101000100,Spring-Winter Purchase,TRUE
101000001,Spring-Winter Purchase,TRUE
000100101,Year-round Purchase,TRUE
100101001,Year-round Purchase,TRUE
101000101,Spring-Winter Purchase,TRUE
010001100,H1 Purchase,TRUE
000101000,New-Year Summer Purchase,FALSE
101100100,Year-round Purchase,TRUE
110100011,Year-round Purchase,TRUE
010000001,Winter Season Purchase,TRUE
100011111,Year-round Purchase,TRUE
101000110,Year-round Purchase,TRUE
110101110,Year-round Purchase,TRUE
101101100,Year-round Purchase,TRUE
101010110,Year-round Purchase,TRUE
101100011,Year-round Purchase,TRUE
011010000,Year-round Purchase,FALSE
000110010,H2 Purchase,TRUE
010100000,New-Year Summer Purchase,FALSE
010001000,New-Year Purchase,TRUE
010010000,Winter Season Purchase,FALSE
001010010,Year-round Purchase,TRUE
000001101,Year-round Purchase,FALSE
000010011,H2 Purchase,TRUE
100010000,Winter-Peak Purchase,TRUE
001110000,Year-round Purchase,FALSE
000001011,Year-round Purchase,FALSE
000011010,Year-round Purchase,TRUE
000100100,Spring-Summer Purchase,FALSE
000001001,Winter Season Purchase,FALSE
001100010,Spring-Summer Purchase,TRUE
000001110,Year-round Purchase,FALSE
000100001,H2 Purchase,TRUE
100010001,Winter-Peak Purchase,TRUE
010010010,Year-round Purchase,TRUE
001100100,Spring-Summer Purchase,TRUE
000000010,Summer-Season Purchase,FALSE
010110000,Year-round Purchase,FALSE
111000000,Year-round Purchase,FALSE
110000000,Winter Season Purchase,FALSE
001010100,Spring-Winter Purchase,TRUE
001000001,Spring-Winter Purchase,TRUE
001000101,Spring-Winter Purchase,TRUE
010100100,Year-round Purchase,TRUE
011000001,Year-round Purchase,TRUE
011000100,H1 Purchase,TRUE
000100010,Summer-Season Purchase,TRUE
001100001,Year-round Purchase,TRUE
010100001,Year-round Purchase,TRUE
001011000,Year-round Purchase,TRUE
010010001,Winter Season Purchase,TRUE
110010000,Winter Season Purchase,TRUE
010011000,Winter Season Purchase,TRUE
000101010,New-Year Summer Purchase,TRUE
000111000,Year-round Purchase,TRUE
101010000,Spring-Winter Purchase,TRUE
000001010,New-Year Summer Purchase,FALSE
010100010,New-Year Summer Purchase,TRUE
000100000,Summer-Season Purchase,FALSE
000011100,Year-round Purchase,TRUE
010010100,Year-round Purchase,TRUE
001000000,Spring-Season Purchase,FALSE
001000011,Year-round Purchase,TRUE
000001000,New-Year Purchase,FALSE
100110000,H2 Purchase,TRUE
010000001,Winter Season Purchase,FALSE
000100110,Spring-Summer Purchase,TRUE
100100000,H2 Purchase,TRUE
000100011,H2 Purchase,TRUE
000100101,Year-round Purchase,TRUE
010000000,New-Year Purchase,FALSE
000010110,Year-round Purchase,TRUE
001000010,Spring-Summer Purchase,TRUE
101100000,Year-round Purchase,TRUE
001101000,Year-round Purchase,TRUE
000101001,Year-round Purchase,TRUE
001000110,Spring-Summer Purchase,TRUE
000000100,Spring-Season Purchase,FALSE
010000011,Year-round Purchase,TRUE
010001100,H1 Purchase,TRUE
011000010,Year-round Purchase,TRUE
101000010,Year-round Purchase,TRUE
000101100,Year-round Purchase,TRUE
100100001,H2 Purchase,TRUE
100001000,Winter Season Purchase,FALSE
000010010,H2 Purchase,TRUE
010000101,Year-round Purchase,TRUE
001000100,Spring-Season Purchase,TRUE
101000100,Spring-Winter Purchase,TRUE
100100010,H2 Purchase,TRUE
100011000,Winter Season Purchase,TRUE
010001010,New-Year Summer Purchase,TRUE
001001100,H1 Purchase,TRUE
011001000,H1 Purchase,TRUE
010000100,H1 Purchase,TRUE
101000000,Spring-Winter Purchase,FALSE
001001000,H1 Purchase,TRUE
001001001,Year-round Purchase,TRUE
100010010,H2 Purchase,TRUE
100000011,H2 Purchase,TRUE
101001000,Year-round Purchase,TRUE
110001000,Winter Season Purchase,TRUE
001001010,Year-round Purchase,TRUE
010000010,New-Year Summer Purchase,TRUE
010101000,New-Year Summer Purchase,TRUE
000110100,Year-round Purchase,TRUE
100000000,Winter-Peak Purchase,FALSE
010001001,Winter Season Purchase,TRUE
100101000,Year-round Purchase,TRUE